timestamp,elapsed_s,rss_mb,vsz_mb,sys_used_mb,sys_avail_mb
11:07:09,0,2,8,3212,124727
11:07:14,5,2,8,68725,59215
11:07:19,10,2,8,68755,59185
11:07:24,15,2,8,68774,59166
11:07:29,20,2,8,68758,59181
11:07:34,25,2,8,68711,59228
11:07:39,30,2,8,68811,59128
11:07:44,35,2,8,68779,59161
11:07:49,40,2,8,68791,59148
11:07:54,45,2,8,68826,59113
11:07:59,50,2,8,68822,59117
11:08:04,55,2,8,68848,59091
11:08:09,60,2,8,68855,59085
11:08:14,65,2,8,68862,59077
11:08:19,70,2,8,68895,59044
11:08:24,75,2,8,68870,59069
11:08:29,80,2,8,68863,59076
11:08:34,85,2,8,68868,59059
11:08:39,90,2,8,68947,58992
11:08:44,95,2,8,68941,58998
11:08:49,100,2,8,83928,44011
11:08:55,105,2,8,83990,43949
11:09:00,111,2,8,83975,43965
11:09:05,116,2,8,83972,43967
11:09:10,121,2,8,83971,43967
11:09:15,126,2,8,84115,43825
11:09:20,131,2,8,83977,43962
11:09:25,136,2,8,84169,43771
11:09:30,141,2,8,84176,43763
11:09:35,146,2,8,83983,43956
11:09:40,151,2,8,84206,43733
11:09:45,156,2,8,84234,43706
11:09:50,161,2,8,84236,43702
11:09:55,166,2,8,84273,43666
11:10:00,171,2,8,84276,43664
11:10:05,176,2,8,84297,43642
11:10:10,181,2,8,84317,43622
11:10:15,186,2,8,84315,43624
11:10:20,191,2,8,84334,43605
11:10:25,196,2,8,84354,43586
11:10:30,201,2,8,84381,43558
11:10:35,206,2,8,84404,43535
11:10:40,211,2,8,84428,43511
11:10:45,216,2,8,84442,43498
11:10:50,221,2,8,84452,43488
11:10:55,226,2,8,84471,43468
11:11:01,231,2,8,84489,43450
11:11:06,237,2,8,84497,43443
11:11:11,242,2,8,84541,43399
11:11:16,247,2,8,84553,43386
11:11:21,252,2,8,84566,43374
11:11:26,257,2,8,84578,43361
11:11:31,262,2,8,84588,43351
11:11:36,267,2,8,84611,43328
11:11:41,272,2,8,84626,43313
11:11:46,277,2,8,84627,43313
11:11:51,282,2,8,84642,43297
11:11:56,287,2,8,84660,43279
