0.00.036.296 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.582 W srv  llama_server: -----------------
0.00.036.583 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.583 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.583 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.583 W srv  llama_server: -----------------
0.00.037.819 I srv    load_model: loading model '/mnt/ssd2/models/qwen38-flash-next/Qwen3.8-Flash-Next-IQ4_XS-PLE.gguf'
0.28.262.833 I cmn          init: llama threadpool init, n_threads = 16
0.28.603.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 257024, kv_unified = 'false'
0.28.605.876 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.28.605.922 I srv  llama_server: model loaded
0.28.605.927 I srv  llama_server: listening on http://127.0.0.1:18080
0.30.336.635 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
4.06.595.250 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  77824, progress = 0.30, t = 216.26 s / 359.87 tokens per second
4.13.600.839 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  79872, progress = 0.31, t = 223.26 s / 357.75 tokens per second
4.20.708.841 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  81920, progress = 0.32, t = 230.37 s / 355.60 tokens per second
4.27.790.138 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83968, progress = 0.33, t = 237.45 s / 353.62 tokens per second
4.34.963.597 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  86016, progress = 0.34, t = 244.63 s / 351.62 tokens per second
4.42.253.892 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  88064, progress = 0.34, t = 251.92 s / 349.58 tokens per second
4.49.464.503 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  90112, progress = 0.35, t = 259.13 s / 347.75 tokens per second
4.56.672.890 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  92160, progress = 0.36, t = 266.34 s / 346.03 tokens per second
5.03.897.843 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  94208, progress = 0.37, t = 273.56 s / 344.38 tokens per second
5.11.415.439 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  96256, progress = 0.38, t = 281.08 s / 342.45 tokens per second
